Size, Type, Time
100, "Sequential", 0.000016
100, "Parallel", 0.016710
100, "Built-in", 0.000017
100, "Sequential", 0.000009
100, "Parallel", 0.012854
100, "Built-in", 0.000014
100, "Sequential", 0.000010
100, "Parallel", 0.022329
100, "Built-in", 0.000014
100, "Sequential", 0.000011
100, "Parallel", 0.012685
100, "Built-in", 0.000014
100, "Sequential", 0.000009
100, "Parallel", 0.015814
100, "Built-in", 0.000014
500, "Sequential", 0.000066
500, "Parallel", 0.093828
500, "Built-in", 0.000145
500, "Sequential", 0.000069
500, "Parallel", 0.084516
500, "Built-in", 0.000080
500, "Sequential", 0.000066
500, "Parallel", 0.112136
500, "Built-in", 0.000081
500, "Sequential", 0.000067
500, "Parallel", 0.080701
500, "Built-in", 0.000078
500, "Sequential", 0.000065
500, "Parallel", 0.079610
500, "Built-in", 0.000073
1000, "Sequential", 0.000139
1000, "Parallel", 0.086248
1000, "Built-in", 0.000156
1000, "Sequential", 0.000139
1000, "Parallel", 0.095954
1000, "Built-in", 0.000155
1000, "Sequential", 0.000145
1000, "Parallel", 0.098487
1000, "Built-in", 0.000157
1000, "Sequential", 0.000145
1000, "Parallel", 0.103158
1000, "Built-in", 0.000155
1000, "Sequential", 0.000145
1000, "Parallel", 0.106381
1000, "Built-in", 0.000156
5000, "Sequential", 0.000870
5000, "Parallel", 0.146193
5000, "Built-in", 0.000868
5000, "Sequential", 0.000778
5000, "Parallel", 0.158601
5000, "Built-in", 0.000963
5000, "Sequential", 0.000800
5000, "Parallel", 0.134994
5000, "Built-in", 0.000865
5000, "Sequential", 0.000748
5000, "Parallel", 0.138212
5000, "Built-in", 0.000860
5000, "Sequential", 0.000773
5000, "Parallel", 0.150922
5000, "Built-in", 0.000853
10000, "Sequential", 0.001473
10000, "Parallel", 0.245694
10000, "Built-in", 0.001811
10000, "Sequential", 0.001480
10000, "Parallel", 0.280766
10000, "Built-in", 0.001754
10000, "Sequential", 0.001572
10000, "Parallel", 0.214890
10000, "Built-in", 0.001772
10000, "Sequential", 0.001648
10000, "Parallel", 0.255897
10000, "Built-in", 0.002098
10000, "Sequential", 0.001611
10000, "Parallel", 0.195954
10000, "Built-in", 0.001736
50000, "Sequential", 0.009150
50000, "Parallel", 0.132143
50000, "Built-in", 0.009122
50000, "Sequential", 0.009050
50000, "Parallel", 0.236586
50000, "Built-in", 0.009231
50000, "Sequential", 0.008988
50000, "Parallel", 0.181143
50000, "Built-in", 0.009657
50000, "Sequential", 0.008886
50000, "Parallel", 0.232637
50000, "Built-in", 0.009289
50000, "Sequential", 0.009217
50000, "Parallel", 0.241007
50000, "Built-in", 0.009301
100000, "Sequential", 0.019064
100000, "Parallel", 0.302935
100000, "Built-in", 0.019215
100000, "Sequential", 0.019211
100000, "Parallel", 0.185280
100000, "Built-in", 0.019039
100000, "Sequential", 0.018816
100000, "Parallel", 0.195224
100000, "Built-in", 0.019281
100000, "Sequential", 0.018693
100000, "Parallel", 0.208768
100000, "Built-in", 0.019749
100000, "Sequential", 0.018655
100000, "Parallel", 0.200516
100000, "Built-in", 0.019228
250000, "Sequential", 0.050998
250000, "Parallel", 0.256728
250000, "Built-in", 0.051836
250000, "Sequential", 0.050752
250000, "Parallel", 0.269728
250000, "Built-in", 0.051200
250000, "Sequential", 0.051815
250000, "Parallel", 0.225668
250000, "Built-in", 0.052310
250000, "Sequential", 0.050107
250000, "Parallel", 0.247201
250000, "Built-in", 0.050990
250000, "Sequential", 0.050951
250000, "Parallel", 0.226541
250000, "Built-in", 0.053016
500000, "Sequential", 0.108066
500000, "Parallel", 0.237754
500000, "Built-in", 0.107940
500000, "Sequential", 0.104218
500000, "Parallel", 0.329153
500000, "Built-in", 0.110335
500000, "Sequential", 0.103893
500000, "Parallel", 0.296866
500000, "Built-in", 0.107848
500000, "Sequential", 0.105183
500000, "Parallel", 0.294626
500000, "Built-in", 0.108890
500000, "Sequential", 0.104885
500000, "Parallel", 0.282100
500000, "Built-in", 0.108898
750000, "Sequential", 0.166339
750000, "Parallel", 0.255849
750000, "Built-in", 0.167743
750000, "Sequential", 0.166373
750000, "Parallel", 0.263973
750000, "Built-in", 0.168604
750000, "Sequential", 0.164948
750000, "Parallel", 0.323369
750000, "Built-in", 0.167600
750000, "Sequential", 0.162244
750000, "Parallel", 0.249014
750000, "Built-in", 0.166726
750000, "Sequential", 0.162133
750000, "Parallel", 0.245503
750000, "Built-in", 0.166313
1000000, "Sequential", 0.224938
1000000, "Parallel", 0.312894
1000000, "Built-in", 0.226652
1000000, "Sequential", 0.228760
1000000, "Parallel", 0.308108
1000000, "Built-in", 0.228042
1000000, "Sequential", 0.226516
1000000, "Parallel", 0.276308
1000000, "Built-in", 0.228288
1000000, "Sequential", 0.225171
1000000, "Parallel", 0.266838
1000000, "Built-in", 0.226802
1000000, "Sequential", 0.219660
1000000, "Parallel", 0.288960
1000000, "Built-in", 0.228791
1250000, "Sequential", 0.284208
1250000, "Parallel", 0.366038
1250000, "Built-in", 0.290114
1250000, "Sequential", 0.286297
1250000, "Parallel", 0.347703
1250000, "Built-in", 0.288921
1250000, "Sequential", 0.283410
1250000, "Parallel", 0.317118
1250000, "Built-in", 0.288929
1250000, "Sequential", 0.282901
1250000, "Parallel", 0.323729
1250000, "Built-in", 0.288139
1250000, "Sequential", 0.282984
1250000, "Parallel", 0.360029
1250000, "Built-in", 0.289976
1500000, "Sequential", 0.348244
1500000, "Parallel", 0.359884
1500000, "Built-in", 0.352779
1500000, "Sequential", 0.352168
1500000, "Parallel", 0.352618
1500000, "Built-in", 0.355799
1500000, "Sequential", 0.349621
1500000, "Parallel", 0.355430
1500000, "Built-in", 0.350032
1500000, "Sequential", 0.342002
1500000, "Parallel", 0.347984
1500000, "Built-in", 0.351705
1500000, "Sequential", 0.347517
1500000, "Parallel", 0.423606
1500000, "Built-in", 0.349736
1750000, "Sequential", 0.405933
1750000, "Parallel", 0.364544
1750000, "Built-in", 0.415377
1750000, "Sequential", 0.419106
1750000, "Parallel", 0.413373
1750000, "Built-in", 0.419049
1750000, "Sequential", 0.409296
1750000, "Parallel", 0.391352
1750000, "Built-in", 0.415252
1750000, "Sequential", 0.407665
1750000, "Parallel", 0.394588
1750000, "Built-in", 0.414138
1750000, "Sequential", 0.410491
1750000, "Parallel", 0.419456
1750000, "Built-in", 0.415359
2000000, "Sequential", 0.470918
2000000, "Parallel", 0.438915
2000000, "Built-in", 0.480329
2000000, "Sequential", 0.469642
2000000, "Parallel", 0.408413
2000000, "Built-in", 0.476059
2000000, "Sequential", 0.486665
2000000, "Parallel", 0.420781
2000000, "Built-in", 0.479453
2000000, "Sequential", 0.462560
2000000, "Parallel", 0.427772
2000000, "Built-in", 0.477414
2000000, "Sequential", 0.466610
2000000, "Parallel", 0.499404
2000000, "Built-in", 0.478637
